dataset,model,Continuous_Mean_WD,Continuous_Mean_KL_50bins,Continuous_Corr_Pearson,mmd,Discrete_Cat_Mean_KL,Discrete_Mean_KL,Discrete_Corr_Spearman,Categorical_Mean_KL,Categorical_NMI,fit_time,tstr_r2_real,tstr_r2_synth,tstr_r2_deviation_%,tstr_r2_diff_raw,fold
online_news_popularity,msbm,0.2619423577988602,0.884385901990638,6.308468794601831,0.017311780221072937,,,,,,104.91438937187195,-0.012089984960925504,0.001776019427495501,-114.69000526663638,-0.013866004388421005,2
online_news_popularity,msbm,0.26823393377485544,0.847041133086103,6.355561658454925,0.01889748988426776,,,,,,105.27008891105652,0.004234380817205952,0.003114404722184272,26.449583619658796,0.0011199760950216797,3
online_news_popularity,msbm,0.2626913699809307,0.8875938928604826,6.412039641794573,0.018140372075640454,,,,,,104.10467433929443,-0.1132356910119865,0.005973335448133277,-105.27513489320339,-0.11920902646011977,4
online_news_popularity,msbm,0.27762716007973565,0.8597710708764387,6.173124067537574,0.01889768568196002,,,,,,105.24689273834228,-0.03843437828124652,0.004551743083092696,-84.81713926502304,-0.042986121364339214,mean
king_county_housing,msbm,0.2005166009834568,0.4511835663352437,2.577980565102532,0.02828527230695732,,,,,,202.6170687675476,0.835912966942348,0.5471676388302171,34.54251094684182,0.28874532811213083,0
king_county_housing,msbm,0.2012458943905756,0.4780569370994953,2.5306478739948974,0.031319033692588594,,,,,,200.3950159549713,0.8728822207905785,0.5412698209557169,37.990509135873666,0.3316123998348617,1
king_county_housing,msbm,0.20120284382340473,0.48264782913915344,2.56272776859067,0.030509067921157484,,,,,,209.56979703903198,0.8633131975389419,0.5018679426679153,41.86722222032551,0.3614452548710265,2
king_county_housing,msbm,0.19820363982932496,0.43996111540841865,2.64720931291052,0.02593541439307534,,,,,,208.84139204025269,0.8255897558396899,0.4646537272695225,43.718569182470894,0.3609360285701674,3
king_county_housing,msbm,0.20399641421677547,0.47086308405735106,2.5827766879665033,0.028769068386842345,,,,,,199.853271484375,0.8445863333062658,0.4460788395338964,47.18374878413545,0.3985074937723694,4
king_county_housing,msbm,0.2010330786487075,0.46454250640793243,2.5802684417130246,0.028963571340124217,,,,,,204.2553090572357,0.8484568948835648,0.5002075938514536,41.06051205392947,0.34824930103211116,mean
