dataset,model,Continuous_Mean_WD,Continuous_Mean_KL_50bins,Continuous_Corr_Pearson,mmd,Discrete_Cat_Mean_KL,Pairwise_MI_Err,Discrete_Mean_KL,Discrete_Corr_Spearman,Categorical_Mean_KL,Categorical_NMI,fit_time,tstr_f1_real,tstr_f1_synth,tstr_f1_deviation_%,tstr_f1_diff_raw,fold,tstr_r2_real,tstr_r2_synth,tstr_r2_deviation_%,tstr_r2_diff_raw
Eucalyptus,msbm,0.2328564905425793,1.485961485314313,1.261338857242746,0.01343819699659976,0.0859071491588938,28.120812235275164,0.031323976205262886,0.5446309816517922,0.13139312662025285,1.6214253764385935,14.735296726226807,0.6159620596205961,0.45903375903375904,25.476942635638565,0.1569283005868371,4,,,,
Eucalyptus,msbm,0.2581844228440337,1.4987268748615028,1.9168372524397004,0.023740940176238935,0.1118450746456662,33.359801375722036,0.052923653981360765,1.0570930040494417,0.16094625853258737,1.9543758292704219,14.666849660873414,0.6188383910414061,0.38717914511988105,36.762510435279104,0.23165924592152506,mean,,,,
Forest Fires,msbm,0.2096686080279341,0.6296178954289796,1.1991187263543934,0.017696715990937917,0.26638933534920817,4.10738648009606,0.3288106778632484,0.4982465146051262,0.20396799283516798,0.17554557027293016,41.43633580207825,,,,,0,-0.3488721868528375,-0.1874489488118969,-46.2700221238997,-0.1614232380409406
Forest Fires,msbm,0.27463204045278783,0.7949470185778149,1.0900077318846055,0.02475304833684505,0.10648519745065736,3.2135084534008955,0.10750554099275877,0.20499005953213215,0.10546485390855595,0.12110433491956521,41.45196771621704,,,,,1,-0.06597654280356102,-0.04254810687948396,-35.510250959697956,-0.023428435924077062
Forest Fires,msbm,0.28090017588571475,0.8691478360678023,1.0922034392240298,0.0418131446470319,0.3281645705253179,4.254183262602576,0.20010978636520121,0.4430177318263215,0.4562193546854345,0.09746145730255341,41.98428750038147,,,,,2,-0.005296025134565507,-0.003641763995165803,-31.23590046057102,-0.0016542611393997042
Forest Fires,msbm,0.3903194221422357,0.8293270415717857,1.185587829242096,0.044327456403373544,0.16048720090833396,3.5577749362044693,0.0476246681195165,0.150316141860865,0.27334973369715143,0.17346111997889935,42.82143759727478,,,,,3,-4.410719280610014,-1.0817678245347526,-75.47411758235629,-3.328951456075261
Forest Fires,msbm,0.2701001818424138,0.6573751588150731,1.2300009691320664,0.03828686432969697,0.1005734207945446,4.107455586465317,0.11720399929112613,0.7109679146500746,0.08394284229796306,0.0558436858436105,41.33721923828125,,,,,4,-1.7750522307263532,-0.4165463569430352,-76.53329013464668,-1.358505873783318
Forest Fires,msbm,0.28512408567021724,0.7560829900922912,1.1593837391674384,0.03337544594157708,0.1924199450056124,3.8480617437538642,0.1602509345263702,0.40150767249490393,0.22458895548485464,0.12468323366351172,41.80624957084656,,,,,mean,-1.3211832532254664,-0.3463906002328669,-53.004716252234324,-0.9747926529925992
Insurance,msbm,0.16675287351267978,0.2092991270186443,0.2538016253171127,0.007623160517658767,0.008434783616613399,4.995643391693044,0.016437381071570053,0.0,0.005767251131627846,0.03557624730125642,99.33183121681213,,,,,0,0.847716811997647,0.8171404505125219,3.606907525293951,0.030576361485125103
Insurance,msbm,0.11309554553724303,0.23862024947688662,0.29415305299874395,0.00471483925968319,0.009015080152600233,3.7287000399065278,0.018888223815898324,0.0,0.005724032264834203,0.03179058136145419,125.656991481781,,,,,1,0.8779278079323697,0.8377051520171813,4.581544809466484,0.040222655915188366
Insurance,msbm,0.1796232077794869,0.25274991564166643,0.10114155271165887,0.0119679961660476,0.017359711769429777,3.377984738296163,0.046498331816714235,0.0,0.007646838420334958,0.021411414627407505,101.5360324382782,,,,,2,0.805461344282419,0.7877160559215667,2.203121041973963,0.017745288360852318
Insurance,msbm,0.09484635272858465,0.22337101757058422,0.27926010295190234,0.0067121861155233775,0.01462568234381613,4.653879602301431,0.014736443066450389,0.0,0.014588762102938043,0.01602710904001016,111.6202335357666,,,,,3,0.8570738154286875,0.8290118760080818,3.274156661357091,0.028061939420605753
Insurance,msbm,0.0985031986137702,0.2104524415687007,0.34482085960963677,0.0052336442499058,0.01063530672718903,4.768804851542836,0.03203221956685671,0.0,0.003503002447299805,0.060458976334638675,115.835369348526,,,,,4,0.8385219116503861,0.7933546058732993,5.386538520882316,0.04516730577708683
Insurance,msbm,0.1305642356343529,0.22689855025529643,0.2546354387178109,0.007250365261763747,0.012014112921929714,4.305002524748,0.02571851986749794,0.0,0.007445977273406972,0.03305286573295339,110.79609160423279,,,,,mean,0.8453403382583018,0.8129856280665301,3.810453711794761,0.03235471019177168
Cardiovascular Disease,msbm,0.0804158936675516,0.06244207456544443,0.4887512122554493,0.001386481179455612,0.005917975601259673,18.317461068805816,0.005917975601259673,0.7565743834166877,,,102.42193102836609,0.7386162776438441,0.72348482208926,2.0486219993489434,0.015131455554584061,0,,,,
Cardiovascular Disease,msbm,0.13105010687966767,0.12407331141223572,0.19147475409185993,0.005790255190172844,0.0045442434528033425,16.58946293346891,0.0045442434528033425,0.7047489271639829,,,126.35017466545105,0.7360063505060919,0.7228480621697693,1.787795489437654,0.013158288336322599,1,,,,
Cardiovascular Disease,msbm,0.09557705536822708,0.09349962214312207,0.24235747838238453,0.003456748941040644,0.0026379000936902494,19.539671411475858,0.0026379000936902494,0.7774754919295628,,,118.37584042549133,0.7333757348584147,0.7093096198475541,3.281553215761458,0.024066115010860534,2,,,,
Cardiovascular Disease,msbm,0.08426556148625955,0.054451641781913265,0.2962988573494587,0.0021594119101338016,0.004105819755788016,18.379728783796377,0.004105819755788016,0.7294571868024393,,,118.15267896652222,0.73388417711337,0.7156882556902825,2.47939960971206,0.018195921423087458,3,,,,
Cardiovascular Disease,msbm,0.08090669533482679,0.0522150291720895,0.15441409601888878,0.0027577411006484143,0.022200235897842816,17.217271082808583,0.022200235897842816,0.7084124345564454,,,121.26414036750793,0.7322839549048302,0.7011601211420107,4.250241119493669,0.031123833762819575,4,,,,
Cardiovascular Disease,msbm,0.09444306254730653,0.077336335814961,0.2746592796196083,0.0031101276642902633,0.00788123496027682,18.008719056071108,0.00788123496027682,0.7353336847738237,,,117.31295309066772,0.7348332990053101,0.7144981761877753,2.7695222867507567,0.020335122817534846,mean,,,,
Churn Modelling,msbm,0.04914595102599059,0.14163035449460884,0.15682162726208398,0.001027235736145049,0.0010536744957673975,19.785859305071536,0.0009939371255938416,0.26586126838890367,0.0012030179212012874,0.001956258449598551,50.72240662574768,0.7504044687409527,0.5816058788907699,22.494347632736954,0.1687985898501828,0,,,,
Churn Modelling,msbm,0.054570610681041014,0.10991128981927199,0.1634637701649826,0.0013209864672591998,0.0012114584337781563,19.603616826277715,0.0015253001401788055,0.3241306212957164,0.0004268541677765337,0.0029533355300068505,64.65844368934631,0.754258209241244,0.5953894177420783,21.062918447912132,0.15886879149916566,1,,,,
Churn Modelling,msbm,0.07421257640732759,0.09118795184084641,0.08980276618765541,0.0022110011792653705,0.0019167122270321044,20.673377773171943,0.0017648328161607551,0.29609270392770837,0.0022964107542104775,0.003090244464571463,62.26021337509155,0.7605546425189651,0.6125210056733776,19.463905493403928,0.14803363684558746,2,,,,
Churn Modelling,msbm,0.062210145068339495,0.19596861499727303,0.12774532806041797,0.0013397656657109236,0.001288070173948539,19.841364676146128,0.0017204931346602211,0.24736056196202522,0.00020701277216933402,0.0005177199592578028,59.78888297080994,0.7609198997874533,0.5954201561678197,21.749956028993644,0.1654997436196336,3,,,,
Churn Modelling,msbm,0.05867078385253534,0.200936831095906,0.14439211355727968,0.0011322024060965719,0.0017162835338869636,19.154907026103867,0.00182258233585916,0.25879157899257255,0.001450536528956473,0.0003316680740175594,62.148263692855835,0.7467785061597795,0.5802742433935504,22.2963383912129,0.1665042627662291,4,,,,
